Wordform,POS
ha,pron.
hnɟu-ja,misc
Jesus,misc
Santana,misc
mʔaã-ja,misc
lhooɲe,adv.
na,part.
maheʔnɟo,adv.
kwilʔa-ja,v. intr.
grabacion,misc
ɲhaã,adv.
nakiiʔ,prep.
programa,misc
hnɟu,v. est.
Alianza,misc
de,misc
Lenguas,misc
en,misc
Peligro,misc
kwii,adj.
proyekto,misc
juu,adv.
nnʔã,sust.
mʔaã,v. est.
tmaãʔ,sust.
waa-ɲe,misc
kwilʔuee-na,v. tr.
kwilaʔneĩ,v. tr.
ɲõndaa,sust.
makiaʔ,misc
ɲʔoõ,sust.
luu,misc
kancha,conj.
hnde,adj.
lʔuu,misc
tʃaʔʃhẽ,adv.
lote-ja,s. pos.
hoonaʔ,pron.
ndɛɛ,sust.
laʔneĩ-na,v. tr.
sɛɛ,conj.
mʔa,misc
nda-ja,misc
ti,sust.
ʃo,misc
hoʔ,conj.
matʃʔeenaʔ,v. est.
kwinckwii,v proc
ɲʔoõ-ja,sust.
ndoʔ,conj.
tsʔiaãʔ,s. pos.
waa-ne,misc
lhoo,adv.
ne,misc
kwilaʔthõ-nɟɔ,v. tr.
nda,s. pos.
hoona,pron.
nckwiiʔ,v. est.
wa,misc
maʃhẽ,adv.
nggwana,misc
ndɛ,sust.
asta,misc
hndɛ,sust.
laʔlheii-na,v. tr.
ɲhõ,adv.
meiĩ,conj.
